,Origin,LicenceNumber,OperatorShortName,OperatingPeriodStartDate,DatasetID,FileName,dq_score,Status,Destination,URL,OperatorCode,OperatorName,RevisionNumber,ServiceCode,Description,TradingName,PublicUse,SchemaVersion,OperatingPeriodEndDate,dq_rag,FileType,bods_compliance,OperatingDays,LineName,Comment,NOC,expired service
80,Chapelfields,PB0001747,First York Limited,2024-01-07,2089,1-RYAO0001--FYOR-York-2024-01-07-FYOR_2024-01-07-BODS_V1_1.xml,100.0,published,"Wigginton, Mill Lane",https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,339,PB0001747:12,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,1,Automatically detected change in data set,FYOR,No End Date
81,Rawcliffe Bar,PB0001747,First York Limited,2024-01-07,2089,2_2A-FYA0002_YFAO002A--FYOR-York-2024-01-07-FYOR_2024-01-07-BODS_V1_1.xml,100.0,published,Rawcliffe Bar,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,339,PB0001747:13,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,2,Automatically detected change in data set,FYOR,No End Date
82,Rawcliffe Bar,PB0001747,First York Limited,2024-01-07,2089,2_2A-FYA0002_YFAO002A--FYOR-York-2024-01-07-FYOR_2024-01-07-BODS_V1_1.xml,100.0,published,Rawcliffe Bar,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,339,PB0001747:13,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,2A,Automatically detected change in data set,FYOR,No End Date
83,"ASKHAM BAR, TESCO",PB0001747,First York Limited,2024-01-07,2089,200-YFAO200--FYOR-York-2024-01-07-FYOR_2024-01-07-BODS_V1_1.xml,100.0,published,"JAMES STREET, YORK",https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,339,PB0001747:52,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Saturday,200,Automatically detected change in data set,FYOR,No End Date
84,Askham Bar,PB0001747,First York Limited,2024-01-07,2089,3-YFAO003--FYOR-York-2024-01-07-FYOR_2024-01-07-BODS_V1_1.xml,100.0,published,Askham Bar,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,339,PB0001747:14,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,3,Automatically detected change in data set,FYOR,No End Date
85,York Clifford Street,PB0001747,First York Limited,2024-01-07,2089,4-FYYO004--FYOR-York-2024-01-07-FYOR_2024-01-07-BODS_V1_1.xml,100.0,published,Acomb,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,339,PB0001747:15,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,4,Automatically detected change in data set,FYOR,No End Date
87,"Strensall, Brecks Lane",PB0001747,First York Limited,2024-01-07,2089,5_5A-YFAO005_YFAO005A--FYOR-York-2024-01-07-FYOR_2024-01-07-BODS_V1_1.xml,100.0,published,Acomb The Green,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,339,PB0001747:16,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,5A,Automatically detected change in data set,FYOR,No End Date
88,"Strensall, Brecks Lane",PB0001747,First York Limited,2024-01-07,2089,5_5A-YFAO005_YFAO005A--FYOR-York-2024-01-07-FYOR_2024-01-07-BODS_V1_1.xml,100.0,published,Acomb The Green,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,339,PB0001747:16,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,5,Automatically detected change in data set,FYOR,No End Date
89,POPPLETON BAR PARK & RIDE SITE,PB0001747,First York Limited,2024-01-07,2089,59-(YFO059)--FYOR-York-2024-01-07-FYOR_2024-01-07-BODS_V1_1.xml,100.0,published,POPPLETON BAR PARK & RIDE SITE,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,339,PB0001747:50,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,59,Automatically detected change in data set,FYOR,No End Date
90,University Campus East,PB0001747,First York Limited,2024-01-07,2089,66-YFAO066--FYOR-York-2024-01-07-FYOR_2024-01-07-BODS_V1_1.xml,100.0,published,University Campus East/York Sport Village,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,339,PB0001747:54,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,CB1,Automatically detected change in data set,FYOR,No End Date
92,University Campus East,PB0001747,First York Limited,2024-01-07,2089,66-YFAO066--FYOR-York-2024-01-07-FYOR_2024-01-07-BODS_V1_1.xml,100.0,published,University Campus East/York Sport Village,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,339,PB0001747:54,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,66,Automatically detected change in data set,FYOR,No End Date
94,University Campus East,PB0001747,First York Limited,2024-01-07,2089,66-YFAO066--FYOR-York-2024-01-07-FYOR_2024-01-07-BODS_V1_1.xml,100.0,published,University Campus East/York Sport Village,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,339,PB0001747:54,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,67,Automatically detected change in data set,FYOR,No End Date
96,Clifton Moor Tesco,PB0001747,First York Limited,2024-01-07,2089,6-RYAO006--FYOR-York-2024-01-07-FYOR_2024-01-07-BODS_V1_1.xml,100.0,published,Heslington East,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,339,PB0001747:17,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,6,Automatically detected change in data set,FYOR,No End Date
97,Designer Oulet Park & Ride,PB0001747,First York Limited,2024-01-07,2089,7-YFAO007--FYOR-York-2024-01-07-FYOR_2024-01-07-BODS_V1_1.xml,100.0,published,York Clifford Street,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,339,PB0001747:18,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,7,Automatically detected change in data set,FYOR,No End Date
98,Grimston Bar,PB0001747,First York Limited,2024-01-07,2089,8-YFAO008--FYOR-York-2024-01-07-FYOR_2024-01-07-BODS_V1_1.xml,100.0,published,Grimston Bar,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,339,PB0001747:19,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,8,Automatically detected change in data set,FYOR,No End Date
99,Monks Cross Park and Ride Site,PB0001747,First York Limited,2024-01-07,2089,9-YFAO009--FYOR-York-2024-01-07-FYOR_2024-01-07-BODS_V1_1.xml,100.0,published,Monks Cross Park and Ride Site,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,339,PB0001747:39,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,9,Automatically detected change in data set,FYOR,No End Date
